latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,host_is_superhost,host_identity_verified,calculated_host_listings_count,instant_bookable,reviews_per_month,review_scores_location,review_scores_cleanliness,price,bathrooms,has_wifi,has_ac,has_pool,has_parking,has_view,has_elevator,is_pet_friendly,has_balcony,neighbourhood_cleansed_Atasehir,neighbourhood_cleansed_Avcilar,neighbourhood_cleansed_Bagcilar,neighbourhood_cleansed_Bahcelievler,neighbourhood_cleansed_Bakirkoy,neighbourhood_cleansed_Basaksehir,neighbourhood_cleansed_Besiktas,neighbourhood_cleansed_Beyoglu,neighbourhood_cleansed_Esenyurt,neighbourhood_cleansed_Fatih,neighbourhood_cleansed_Kadikoy,neighbourhood_cleansed_Kagithane,neighbourhood_cleansed_Kucukcekmece,neighbourhood_cleansed_Maltepe,neighbourhood_cleansed_Other,neighbourhood_cleansed_Pendik,neighbourhood_cleansed_Sile,neighbourhood_cleansed_Sisli,neighbourhood_cleansed_Umraniye,neighbourhood_cleansed_Uskudar,property_type_Entire_home,property_type_Entire_rental_unit,property_type_Entire_serviced_apartment,property_type_Other,property_type_Private_room_in_bed_and_breakfast,property_type_Private_room_in_condo,property_type_Private_room_in_home,property_type_Private_room_in_rental_unit,property_type_Room_in_aparthotel,property_type_Room_in_boutique_hotel,property_type_Room_in_hotel,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room
41.06681,29.04035,3,1.0,2.0,100.0,365.0,364,16,4.69,0,1,2,0.0,0.13,4.69,4.88,1356.82,1.0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41.02942,28.98154,2,1.0,1.0,3.0,6.0,17,91,4.66,0,1,1,0.0,0.47,4.86,4.67,2583.67,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41.03537,28.97316,4,2.0,2.0,13.0,365.0,120,43,4.79,1,1,1,0.0,0.29,4.67,4.93,3269.76,1.5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.032,28.98484,1,2.0,1.0,100.0,1125.0,365,0,4.79,0,1,1,0.0,0.0,4.83,4.75,276.47,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.07781,29.00894,6,3.0,3.0,100.0,1125.0,365,2,5.0,0,1,1,0.0,0.01,5.0,4.0,1964.26,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
41.03622,28.98274,2,1.0,1.0,100.0,365.0,365,0,4.79,0,1,3,0.0,0.0,4.83,4.75,1034.08,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.03915,28.98273,4,1.0,2.0,3.0,365.0,353,182,4.65,0,1,8,0.0,1.25,4.76,4.63,3013.34,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.03911,28.98266,2,1.0,1.0,3.0,1125.0,308,242,4.79,0,1,8,0.0,1.63,4.83,4.73,3352.99,1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41.03105545043945,28.98270034790039,6,2.0,4.0,2.0,365.0,356,148,4.85,1,1,2,0.0,0.88,4.92,4.75,6040.22,1.5,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.02563,28.97684,4,2.0,2.0,180.0,1125.0,365,0,4.79,0,1,1,0.0,0.0,4.83,4.75,818.48,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.04892349243164,28.986188888549805,4,2.0,3.0,2.0,1125.0,13,124,4.9,1,1,2,0.0,0.99,4.85,4.82,6231.0,1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.03728,28.98093,4,1.0,2.0,100.0,365.0,362,62,4.58,0,1,3,0.0,0.37,4.74,4.62,1106.7,1.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.010094270688185,28.946701522232388,2,1.0,1.0,100.0,200.0,180,27,4.21,0,0,5,0.0,0.16,4.48,4.26,294.75,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.03307,28.97895,3,2.0,2.0,110.0,1125.0,364,112,4.74,0,1,2,0.0,0.61,4.96,4.7,1056.12,1.5,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.02937,28.98044,1,1.0,1.0,100.0,110.0,268,93,4.82,0,1,1,0.0,0.51,4.92,4.96,489.71,1.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.0304,28.98522,3,1.0,2.0,100.0,730.0,363,10,5.0,0,1,1,0.0,0.06,4.9,5.0,1563.47,1.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.04307,28.98194,1,1.0,1.0,100.0,300.0,358,2,5.0,0,1,1,0.0,0.02,5.0,5.0,285.04,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41.03034,28.97043,6,2.0,3.0,100.0,1125.0,364,7,4.33,0,1,5,0.0,0.04,4.57,4.57,2967.4,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.05739,28.9955,2,1.0,1.0,100.0,1125.0,365,1,5.0,0,1,2,0.0,0.01,5.0,5.0,441.66,1.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.03215,28.84375,4,1.0,2.0,100.0,1125.0,365,1,4.0,0,1,1,0.0,0.01,4.0,5.0,630.28,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.06193,28.98508,1,1.0,1.0,100.0,1125.0,219,40,4.76,0,1,1,0.0,0.23,4.68,4.05,150.18,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.0272,28.97564,7,3.0,4.0,2.0,1125.0,348,236,4.86,1,1,13,0.0,1.76,4.92,4.85,8558.5,1.5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.02459,28.97327,6,3.0,3.0,2.0,1125.0,110,290,4.78,1,1,13,0.0,1.71,4.91,4.85,7513.0,2.0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.03595,28.97748,2,1.0,1.0,2.0,1125.0,338,370,4.74,1,1,13,0.0,2.21,4.6,4.84,4727.5,1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.05761,28.99618,8,3.0,5.0,100.0,1125.0,365,1,3.0,0,1,2,0.0,0.01,3.0,3.0,961.03,2.0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.03806,28.97582,3,1.0,1.0,3.0,1125.0,167,64,4.62,0,1,4,0.0,0.38,4.13,4.73,3498.33,1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.0319,28.97224,5,2.0,3.0,100.0,1125.0,364,20,4.0,0,1,5,0.0,0.12,4.18,3.71,2264.33,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.07564,29.03602,4,2.0,2.0,100.0,1125.0,358,12,4.83,0,1,1,0.0,0.07,4.83,4.92,3639.23,2.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41.03806,28.97581,1,1.0,1.0,3.0,1095.0,240,30,4.27,0,1,4,0.0,0.19,4.0,4.5,2115.33,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.03032,28.97043,6,2.0,3.0,100.0,1125.0,364,20,4.42,0,1,5,0.0,0.12,4.47,4.05,3118.3,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.04425,28.98196,4,2.0,2.0,100.0,1125.0,365,25,4.78,0,1,2,0.0,0.15,4.68,4.8,1655.97,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.00708,28.97997,3,2.0,2.0,2.0,730.0,360,161,4.88,1,1,3,0.0,1.0,4.97,4.86,6665.5,1.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41.00519,28.97907,4,3.0,3.0,2.0,730.0,359,70,4.9,1,1,3,0.0,0.43,5.0,4.94,6665.5,1.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41.00417,28.96604,2,1.0,1.0,1.0,1125.0,356,150,4.47,0,1,9,0.0,0.91,4.45,4.63,2117.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.0326036,28.9849761,3,2.0,2.0,110.0,1125.0,365,106,4.72,0,1,2,0.0,0.63,4.79,4.57,700.92,1.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.02429,28.97383,6,3.0,3.0,100.0,365.0,365,109,4.69,0,1,4,0.0,0.69,4.94,4.88,2512.65,1.0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40.97529,29.05916,6,5.0,3.0,100.0,360.0,362,7,5.0,0,1,1,0.0,0.04,5.0,4.57,2581.64,2.0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.00661,28.98383,3,1.0,2.0,100.0,1125.0,365,0,4.79,0,1,1,0.0,0.0,4.83,4.75,1763.44,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41.02919,28.94835,2,1.0,1.0,7.0,1125.0,164,201,4.32,0,1,3,0.0,1.22,4.33,4.44,3309.57,1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.02952,28.94716,2,2.0,3.0,5.0,1125.0,323,205,4.38,0,1,3,0.0,1.31,4.51,4.37,3348.09,2.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.02919,28.94835,2,1.0,1.0,5.0,1125.0,333,206,4.57,0,1,3,0.0,1.28,4.39,4.51,3968.2,1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41.03148,28.98405,1,1.0,1.0,100.0,365.0,365,1,5.0,0,1,1,0.0,0.01,5.0,5.0,709.16,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.0304,28.94722,2,1.0,2.0,3.0,1125.0,357,48,4.46,0,1,6,0.0,0.36,4.41,4.6,3406.33,1.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.03948,28.98233,2,1.0,1.0,1.0,1125.0,364,518,4.73,0,1,17,0.0,3.52,4.73,4.79,1987.42,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.05844,29.00019,8,3.0,5.0,100.0,1125.0,365,0,4.79,0,1,1,0.0,0.0,4.83,4.75,1105.87,2.0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.176117,29.090576,10,4.0,5.0,101.0,1125.0,363,4,3.75,0,1,4,0.0,0.03,3.5,4.25,4529.96,2.0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
